time,flow,occupancy,speed
9.43748,0,nan,nan
19.4375,0,nan,nan
29.4375,0,nan,nan
39.4375,730,2.03778,31.4067
49.4375,1019,2.3291,27.4785
59.4375,1332,2.54106,25.1864
69.4375,1814,2.57646,24.8402
79.4375,1858,2.40198,26.6447
89.4375,2012,2.62473,24.3834
99.4375,2353,2.71041,23.6127
109.437,2401,2.77566,23.0576
119.437,2592,2.38595,26.8237
129.437,2642,2.25871,28.3348
139.437,2762,2.41174,26.5369
149.437,2794,2.2417,28.5498
159.437,2822,2.21277,28.923
169.437,2825,2.24817,28.4676
179.437,2909,2.28934,27.9556
189.437,2869,2.29441,27.8939
199.437,2942,2.48273,25.7781
209.437,2956,2.73358,23.4125
219.437,3002,2.4902,25.7007
229.437,3059,2.28865,27.9641
239.437,3067,2.35274,27.2023
249.437,3074,2.48056,25.8007
259.437,3122,2.23132,28.6826
269.437,3059,2.24702,28.4822
279.437,3117,2.563,24.9707
289.437,3134,2.36763,27.0312
299.437,3137,2.37757,26.9183
309.437,3176,2.57878,24.818
319.437,3178,2.68545,23.8322
329.437,3190,3.05044,20.9805
339.437,3192,3.6661,17.4572
349.437,3224,3.16172,20.2421
359.437,3225,3.93786,16.2525
